"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Claremont Lincoln University","250 West First Street Suite 330, Claremont, California 91711-4744","https://claremontlincoln.edu","4-year, Private not-for-profit","Master's degree","Suburb: Large","No","107","","NA","NA","Fall 2011","NA","-","488387","04253600"
"Claremont McKenna College","500 E 9th St, Claremont, California 91711-6400","www.cmc.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Large","Yes","1345","1338","90%","5%","Fall 2011","$28,712","-","112260","00117000"
"Claremont School of Theology","1325 N College Ave, Claremont, California 91711-3199","www.cst.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","393","","NA","NA","Fall 2011","NA","-","124283","00128800"
"Cogswell College","191 Baypointe Parkway, San Jose, California 95134","www.cogswell.edu","4-year, Private for-profit","Bachelor's degree|Master's degree","City: Large","Yes","608","608","37%","26%","Fall 2011","$23,601","-","112394","00117700"
"Columbia College - Coast Guard Island","Building #3, Alameda, California 94501-5100","www.ccis.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","No","","","NA","NA","Fall 2017","NA","-","17706502","00245604"
"Columbia College - Lemoore","Building 826 Hancock Circle, NAS Lemoore, California 93246-0001","www.ccis.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Fringe","No","","","NA","NA","Fall 2017","NA","-","17706521","00245636"
"Columbia College - Los Alamitos","11206 Lexington Avenue, Suite 110, Los Alamitos, California 90720-5177","www.ccis.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","","","NA","NA","Fall 2017","NA","-","17706519","00245629"
"Columbia College - San Diego","4025 Tripoli Avenue, San Diego, California 92140-5290","www.ccis.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","No","","","NA","NA","Fall 2017","NA","-","17706532","00245648"
"Columbia College - San Luis Obispo","Building 2700 A at Cuesta College, San Luis Obispo, California 93403-8106","www.ccis.edu","4-year, Private not-for-profit","Bachelor's degree","Suburb: Small","No","","","NA","NA","Fall 2017","NA","-","17706522","00245637"
"Columbia College Hollywood","18618 Oxnard St, Tarzana, California 91356-1411","https://www.columbiacollege.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","No","453","453","50%","NA","Fall 2011","$25,345","-","112570","02110200"
